"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"T70310","",NULL,"Proposals for preventing the running of wool, and encouraging the woollen manufacture.","","London :","printed for J. Peele, at Locke's-Head, in Amen-Corner, Pater-Noster-Row,","MDCCXXXI. [1731]",1731,"31,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1652"
"T70328","",NULL,"A true and genuine history of the two last wars against France and Spain. ... Interspersed with many entertaining accidents and instructive stories of the late Earl of Peterborough, ... By Capt. George Carleton, present in the engagements both in the fleet and the army.","","London :","printed for Francis Gosling,",1741.,1741,"[8],352p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2970"
"T70404","Hutchinson, John,","1674-1737.","A treatise of power essential and mechanical.","","London :","printed by W. Bowyer,","MDCCXXXII. [1732]",1732,"[2],315,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1792"
"T706","Swift, Jonathan,","1667-1745.","The Hibernian patriot:","","[London] :","Printed at Dublin. London: reprinted and sold by A. Moor, and the booksellers of London and Westminster,",1730.,1730,"[8],264p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1471"
"T708","Wells, Edward,","1667-1727.","A treatise of ancient and present geography.","The fifth edition, with such alterations and addit","London :","printed by W. Bowyer, for R. Wilkin, A. Bettesworth and C. Hitch, J. and J. Bonwicke, J. and P. Knapton and T. Longman, S. Birt, T. Osborn and E. Wicksted,",1738.,1738,"[18],181,[33]p.,plate :","ill. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2486"
"T70850","Defoe, Daniel,","1661?-1731.","A tour thro' the whole island of Great Britain,","The second edition. With very great additions, imp","London :","printed for J. Osborn, S. Birt, D. Browne, A. Millar, F. Cogan, J. Whiston, and J. Robinson,","MDCCXXXVIII [1738].",1738,"3v. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2596"
"T70873","Bisse, Thomas,","d. 1731.","Lusus poetici olim conscripti, a. [sic] T. B. è C. C. C. Oxon. discipulo.","","Londini :","typis Gul. Bowyer,",1720.,1720,"32p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 677"
"T70880","Waterland, Daniel,","1683-1740.","Scripture vindicated;","","London :","printed for John Crownfield at the Rising-Sun in St. Paul's Church-Yard ; and sold by Cornelius Crownfield, printer to the University of Cambridge,","MDCCXXXII. [1732]",1732,"[8],123,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1712"
"T70979","Bonwicke, Ambrose,","1652-1722.","A pattern for young students in the university, set forth in the life of Mr. Ambrose Bonwicke, sometime scholar of St. John's College in Cambridge.","","London :","printed for J. and J. Bonwicke, and Stephen Austen, in St. Paul's Church-yard, and F. Cogan, at the Blue Ball without Temple-Bar,",1729.,1729,"[8],172p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1469"
"T71080","Hutchinson, John,","1674-1737.","A new account of the confusion of tongues:","","London :","printed by W. Bowyer,","MDCCXXXI. [1731]",1731,"[4],231,[1];333[i.e.335],[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1668"
"T71093","Dennis, John,","1657-1734.","An essay on the genius and writings of Shakespear: with some letters of criticism to The spectator. By Mr. Dennis.","","London :","printed for Bernard Lintott at the Cross-Keys between the Two Temple-Gates in Fleetstreet,","[1712]",1712,"[12],66,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 123"
"T71402","",NULL,"Winter evening tales.","","London :","printed for F. Cogan, at the Middle-Temple Gate,","MDCCXXXI. [1731]",1731,"[4],284p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1611"
"T71485","",NULL,"A letter to a doctor of physick concerning diascordium, &c.","","London :","printed for J. Bettenham at the Crown in Pater-Noster-Row,",1719.,1719,"[2],45,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 523"
"T71779","Wake, William,","1657-1737.","The principles of the Christian religion explained:","The fifth edition corrected.","London :","printed by W. Bowyer, for Richard Williamson near Grays-Inn-Gate in Holborn,","MDCCXXXI. [1731]",1731,"[16],192,[16]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1610"
"T72166","Brett, Thomas,","1667-1744.","A chronological essay on the sacred history,","","London :","printed for Fletcher Gyles, against Gray's-Inn in Holborn,","MDCCXXIX. [1729]",1729,"[2],94p.,tables ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1397"
"T72198","Whiston, John,","1711-1780.","A catalogue of the libraries of William Butler ... Robert Stephens ... and of Jezreel Jones ... Which will be sold ... on Tuesday February 1. 1736-7. By John Whiston, ...","","[London,","","1737]",1737,"Pp.[2],1-98 ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2341"
"T72199","Harris, Walter,","1647-1732.","Dissertationes medic? & chirurgic? habit? in amphitheatro Collegii Regalis Medicorum Londinensium. A Gualtero Harris, M.D. in eodem Collegio Praeside nato, & Chirurgiae Professore.","","Londini :","impensis Guil. & Joh. Innys, in Area Occidentali D. Pauli,","MDCCXXV. [1725]",1725,"xvi,247,[9]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1073"
"T72200","Sewell, George,","d. 1726.","A new collection of original poems, never printed in any miscellany.","","London :","printed for J. Pemberton at the Buck and Sun, and J. Peele at Lock's Head, both in Fleetstreet,","MDCCXX. [1720]",1720,"[8],87,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 646"
"T72265","Defoe, Daniel,","1661?-1731.","The life and strange surprizing adventures of Robinson Crusoe,","The second edition.","London :","printed for W. Taylor at the Ship in Pater-Noster-Row,","MDCCXIX. [1719]",1719,"[4],364,[4]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 556"
"T72266","Defoe, Daniel,","1661?-1731.","The life and strange surprizing adventures of Robinson Crusoe,","The third edition.","London :","printed for W. Taylor at the Ship in Pater-Noster-Row,","MDCCXIX. [1719]",1719,"[4],364,[4]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 563"
"T72267","Defoe, Daniel,","1661?-1731.","The life and strange surprizing adventures of Robinson Crusoe,","The third edition.","London :","printed for W. Taylor,",1719.,1719,"[4],364,[4]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 567"
"T72424","Elstob, Elizabeth,","1683-1756.","The rudiments of grammar for the English-Saxon tongue, first given in English: with an apology for the study of northern antiquities. Being very useful towards the understanding our ancient English poets, and other writers. By Elizabeth Elstob.","","London :","printed by W. Bowyer: and sold by J. Bowyer at the Rose in Ludgate-Street, and C. King in Westminster-Hall,",1715.,1715,"[8],xxxv,[1],70p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 234"
"T72450","S. L.","","The amours of Philario and Olinda: or the intrigues of Windsor. A genuine history.","","London :","printed for F. Cogan, at the Middle-Temple Gate, in Fleetstreet,","M.DCC.XXX. [1730]",1730,"[2],70p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1554"
"T73156","Bradley, Richard,","1688-1732.","A general treatise of husbandry and gardening;","","London :","printed for T. Woodward, at the Half-Moon over against St. Dunstan's Church in Fleetstreet, and J. Peele at Locke's Head in Pater-Noster Row,","MDCCXXVI. [1726]",1726,"2v.,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1160"
"T73446","Synge, Edward,","1659-1741.","An answer to all the excuses and pretences","The fifteenth edition, corrected.","London :","printed for Thomas Trye,",1741.,1741,"48p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2916"
"T73486","H. C.","","An epithalamium. Being stanzas on the most auspicious nuptials of ... the Marquess of Carmarthen, and the Lady Elizabeth Harley, ... By Mr. H. C.","","London :","printed for John Morphew,","1712 [1713]",1713,"[2],6p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 122"
"T73542","Campbell, Archibald,","1691-1756.","The necessity of revelation: or an enquiry into the extent of human powers with respect to matters of religion; especially those two fundamental articles, the being of God, and the immortality of the soul. By Archibald Campbell, D. D. Regius Professor of Divinity and Ecclesiastical History in the University of St. Andrews.","","London :","printed by William Bowyer, at the expence of the Society for the Encouragement of Learning ; and sold by A. Millar at Buchanan's Head in the Strand, J. Nourse at Temple-Bar, and J. Gray in the Poultry, booksellers to the Society,","MDCCXXXIX. [1739]",1739,"[12],336,327-417,[1]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2721"
"T73774","Nelson, Robert,","1656-1715.","Instructions for them that come to be confirmed,","","London :","printed by W.B. for J. Churchill at the Black Swan in Pater-Noster-Row,","[1714]",1714,"24p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 204"
"T73914","Swift, Jonathan,","1667-1745.","Considerations upon two bills","","London :","printed for A. Moore, near St. Paul's, and sold by the booksellers of Westminster and Southwark,",1732.,1732,"42p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1785"
"T73964","Synge, Edward,","1659-1741.","An abstract of the Church catechism;","","London :","printed for Thomas Trye near Grays-Inn-Gate in Holborn,","MDCCXLII. [1742]",1742,"24p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3074"
"T73983","Synge, Edward,","1659-1741.","Some short and plain directions for the spending of one day well;","The seventh edition.","London :","printed for T. Trye, near Grays-Inn Gate in Holbourn,",1741.,1741,"12p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2930"
"T73984","Synge, Edward,","1659-1741.","Plain instructions for the young and ignorant.","The seventh edition corrected.","London :","printed for Thomas Trye,",1737.,1737,"47,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2423"
"T73985","Synge, Edward,","1659-1741.","A gentleman's religion:","The sixth edition.","London :","printed for Thomas Trye,",1737.,1737,"[6],301,[5]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2212,Maslen & Lancaster. Bowyer ledgers, 2383"
"T73987","Synge, Edward,","1659-1741.","An essay towards making the knowledge of religion easy to the meanest capacity.","The seventh edition corrected.","London :","printed for Thomas Trye,",1740.,1740,"[6],28,[2]p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2803"
"T73990","Synge, Edward,","1659-1741.","The works","","London :","printed for Thomas Trye, near Gray's-Inn-Gate in Holbourn,","MDCCXL. [1740] [1742]",1742,"3v. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2776"
"T73992","Synge, Edward,","1659-1741.","Two tracts, the one Directions to a sober Christian for the acceptable offering up the Lord's prayer to God in his private devotions. The other Sober thoughts on the doctrine of predestination. By the most Reverend Dr. Edward Synge, late Lord Archbishop of Tuam, in Ireland.","","London :","printed for Thomas Trye near Grays-Inn-Gate in Holborn,","MDCCXLII. [1742]",1742,"12p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3077"
"T73993","Synge, Edward,","1659-1741.","Advice to a young divine concerning preaching.","","London :","printed for Thomas Trye near Grays-Inn-Gate in Holborn,","MDCCXLII. [1742]",1742,"12p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3075"
"T73997","Synge, Edward,","1659-1741.","The authority of the Church in matters of religion.","The second edition corrected.","London :","printed for Thomas Trye near Gray's Inn Gate in Holbourn,","MDCCXXXVII. [1737]",1737,"59,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2397"
"T73998","Synge, Edward,","1659-1741.","Free thinking in matters of religion stated and recommended.","The second edition corrected.","London :","printed for Thomas Trye,",1737.,1737,"47,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2398"
"T73999","Synge, Edward,","1659-1741.","The true nature of an oath.","","London :","printed for Richard Williamson, near Gray's-Inn-Gate, in Holbourn,","MDCCXXXVI. [1736]",1736,"8p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2276"
"T74000","Synge, Edward,","1659-1741.","A plain and easy method, whereby a man of moderate capacity may arrive at full satisfaction in all things that concern his everlasting salvation.","The second edition.","London :","printed for Thomas Trye, near Grays-Inn-Gate in Holbourn,","MDCCXXXVII. [1737]",1737,"71,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2395"
"T74001","Synge, Edward,","1659-1741.","The way to eternal salvation plainly pointed out.","The second edition corrected.","London :","printed for Thomas Trye,",1742.,1742,"36p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3071"
"T74002","Synge, Edward,","1659-1741.","The divine authority of Church-government, and episcopacy, stated and asserted,","","London :","printed for the executors of R. Sare, and sold by R. Williamson,",1726.,1726,"48p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, "
"T74003","Synge, Edward,","1659-1741.","An essay on foolish questions.","","London :","printed for Thomas Trye near Grays-Inn Gate in Holborn,","MDCCXXXVIII. [1738]",1738,"60,[4]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2508"
"T74004","Synge, Edward,","1659-1741.","A discourse of confirmation.","","London :","printed for Thomas Trye,",1742.,1742,"24p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3058"
"T74005","Synge, Edward,","1659-1741.","Sober thoughts for the cure of melancholy;","","London :","printed for Thomas Trye,",1742.,1742,"36p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3060"
"T74007","Synge, Edward,","1659-1741.","A charitable address to all who are of the communion of the Church of Rome.","","London :","printed by W. B. for R. Williamson, near Grey's Inn Gate in Holborn,","MDCCXXVII. [1727]",1727,"118,[2]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1309"
"T74008","Synge, Edward,","1659-1741.","A brief discourse of the fundamentals of Christianity;","","London :","printed by W. B. for R. Williamson,",1729.,1729,"48p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1460"
"T74009","Synge, Edward,","1659-1741.","Catholick Christianity:","The second edition.","London :","printed by W. B. [William Bowyer?] for R. Williamson, near Grays-Inn Gate in Holborn,","MDCCXXXIV. [1734]",1734,"[10],50p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2016"
"T74371","Synge, Edward,","1659-1741.","An essay towards making the knowledge of religion easy to the meanest capacity.","The fifth edition.","London :","printed for R. Sare, near Grays-Inn Gate in Holborn,",1722.,1722,"[6],23,[7]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 813"
"T74372","Synge, Edward,","1659-1741.","A gentleman's religion:","The fifth edition.","London :","printed for the executors of R. Sare, and sold by R. Williamson near Gray's-Inn-Gate in Holbourn,",1726.,1726,"[6],301,[5]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1173"
"T74373","Synge, Edward,","1659-1741.","A plain and easy method, whereby a man of moderate capacity may arrive at full satisfaction in all things that concern his everlasting salvation.","","London :","printed for Richard Sare, near Grays-Inn-Gate in Holbourn,",1715.,1715,"[8],69,[7]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 245"
"T74375","Synge, Edward,","1659-1741.","A sincere Christian and convert from the Church of Rome,","","London :","printed for Thomas Trye, near Gray's-Inn Gate Holborn,","MDCCXLII. [1742]",1742,"48p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 3059"
"T74395","Synge, Edward,","1659-1741.","Free-Thinking in matters of religion stated and recommended.","","London :","printed for R. Williamson, near Gray's-Inn-Gate in Holbourn,","MDCCXXVII. [1727]",1727,"32p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1280"
"T74504","Synge, Edward,","1659-1741.","Some rules for the conduct of human life,","","London :","printed for Richard Williamson, near Gray's-Inn-Gate, in Holbourn,","MDCCXXXVI. [1736]",1736,"44, [4]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2275"
"T74508","Synge, Edward,","1659-1741.","A persuasive to the study of the Holy Scriptures.","","London :","printed for Richard Williamson near Gray's-Inn-Gate in Holbourn.,","MDCCXXXVI. [1736]",1736,"72p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2328"
"T74574","Gyles, Fletcher,","d. 1741.","Librorum in omni ferè scientiâ & facultate præstantium, catalogus: being a catalogue of the libraries of the Revd. George Thorpe, ... And Robert Yard, ... Which will be sold ... on Thursday the 8th. of May next. By Fletcher Gyles ...","","[London,","","1729]",1729,"[2],148,153-178p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1435"
"T74885","Hopton, Susannah,","1627-1709.","A collection of meditations and devotions, in three parts. I. Meditations on the creation. II. Meditations and devotions on the life of Christ. III. Daily devotions and Thanks-Givings, &c. By the first reformer of the Devotions in the ancient way of offices; afterwards reviewed and set forth b y the late Learned Dr. Hickes. Published by N. Spinckes, M.A.","","London :","printed for D. Midwinter, at the Three Crowns in St. Paul's Church-Yard,",1717.,1717,"[24],423,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 341"
"T75157","Boswell, John,","1698-1757.","A method of study: or, an useful library. In two parts. Part I. Containing short directions and a catalogue of books for the study of several valuable parts of learning, viz. geography, chronology, history, classical learning, natural philosophy, &c. Part II. Containing som directions for the study of divinity, and prescribing proper Books for that Purpose. By John Boswell, A. M. Vicar of Taunton St. Mary Magdalen, and Prebendary of the Church of Wells.","","London :","printed for the author,","M.DCC.XXXVIII. [1738]-43.",1738,"2v. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 3089"
"T75302","Fiddes, Richard,","1671-1725.","The doctrine of a future state, and that of the soul's immortality, asserted and distinctly proved;","The second edition.","London :","printed for J. Pemberton, at the Buck over-against St. Dunstan's Church in Fleet-street,","[1725]",1725,"[2],60p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1103"
"T75692","Fiddes, Richard,","1671-1725.","A preparative to the Lord's Supper.","The second edition. With some enlargements both in","London :","printed for Bernard Lintott, at the Cross-Keys between the Temple-Gates, Fleetstreet,",1718.,1718,"[12],110,93-150p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 435"
"T75711","Lancaster, Peter,","fl. 1722-1730.","A chronological essay, on the ninth chapter of the book of Daniel: or, an interpretation, of the prophecy of the seventy weeks, whereby, the Jews, in, and for above four hundred and sixty years before our Saviour's time, might certainly know the very year, in which the messias was to come. By Peter Lancaster, Vicar of Bowdon in Cheshire, and sometime Student of Christ-Church in Oxford.","","London :","printed for William and John Innys at the West End of St. Paul's Church-Yard,",1722.,1722,"[16],155,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 824"
"T75743","Goodman, John,","1625 or 6-1690.","Winter-evening conference between neighbours.","","London :","printed by J. Leake, for Royston and Elizabeth Meredith; and are to be sold by him,",1713.,1713,"[8],232,[8],175,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 174"
"T75784","",NULL,"A defence of the measures of the present administration.","","London :","printed for J. Peele at Locke's Head in Amen-Corner, Pater-Noster-Row,","MDCCXXXI. [1731]",1731,"32p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1613"
"T75922","Ballard, Thomas,","fl. 1698-1734.","Bibliothecae Rawlinsonianae,","","[London :","printed by William Bowyer,","1727]",1727,"[4],128p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1311"
"T76114","Norris, John,","1657-1711.","A collection of miscellanies:","The sixth edition.","London :","printed by W. Bowyer, for S. Manship; and sold by W. Taylor,",1717.,1717,"[16],319,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 374"
"T76251","Fiddes, Richard,","1671-1725.","Theologia speculativa:","","London :","printed by W. Bowyer, for Bernard Lintot,","1718-1720.",1718,"2v.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 431, 589"
"T76455","",NULL,"Forms of prayer, proper to be used before, at, and after the receiving of the Holy Sacrament: ...","The fourth edition, to which are added some medita","London :","printed for Benj. Barker, and sold by W. Taylor,",1715.,1715,"72p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 235"
"T76501","Nelson, Robert,","1656-1715.","A companion for the festivals and fasts of the Church of England:","The tenth edition.","London :","printed by W. Bowyer, for W. Churchill, at the Black-Swan in Pater-Noster-Row,",1717.,1717,"[2],xxii,[4],636,[16]p.,plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 398"
"T76502","Nelson, Robert,","1656-1715.","A companion for the festivals and fasts of the Church of England:","The twelfth edition.","London :","printed by W. Bowyer, for R. Bonwicke, J. Walthoe, B. and S. Tooke, R. Wilkin, and T. Ward,",1722.,1722,"[2],xxii,[6],636,[16]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 850"
"T76503","Nelson, Robert,","1656-1715.","A companion for the festivals and fasts of the Church of England:","The sixteenth edition.","London :","printed for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, and T. Ward and E. Wicksteed,",1736.,1736,"[6],xviii,[4],636,[16]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2200"
"T76511","Nelson, Robert,","1656-1715.","The great duty of frequenting the Christian sacrifice, and the nature of the preparation required:","The fourth edition.","London :","printed by W.B. for J. Churchill at the Black Swan in Pater-Noster-Row,",1711.,1711,"[14],225,[3]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 67"
"T76512","Nelson, Robert,","1656-1715.","The great duty of frequenting the Christian sacrifice, and the nature of the preparation required:","The fifth edition.","London :","printed by W.B. for J. Churchill at the Black-Swan in Pater-Noster-Row,",1714.,1714,"[12],225,[3]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 205"
"T76513","Nelson, Robert,","1656-1715.","The great duty of frequenting the Christian sacrifice, and the nature of the preparation required:","The seventh edition.","London :","printed by W.B. for W. Churchill at the Black Swan in Pater-Noster-Row,",1718.,1718,"[12],225,[3]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 471"
"T76514","Nelson, Robert,","1656-1715.","The great duty of frequenting the Christian Sacrifice, and the nature of the preparation required;","The ninth edition.","London :","printed by W. Bowyer, for J. Walthoe, R. Wilkin, J. and J. Bonwicke, and T. Ward.,",1727.,1727,"x,202,[4]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1306"
"T76515","Nelson, Robert,","1656-1715.","The great duty of frequenting the Christian sacrifice, and the nature of the preparation required;","The tenth edition.","London :","printed by W. Bowyer, for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, T. Ward and E. Wicksteed,",1734.,1734,"x,202,[4]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2008"
"T76629","",NULL,"A charge delivered to the clergy of the archdeaconry of Wilts, at the Easter visitation in the year 1739.","","London :","printed for Fletcher Gyles, against Grays-Inn. Holborn,","MDCCXXXIX. [1739]",1739,"[4],36p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2740"
"T76942","Noke, James.","","James Noke, executor, residuary legatee ... of Judith Medlicot ... appellant. Richard Darby, gent. and Selwyn his wife, ... and Penelope Samber, ... respondents. The appellant's case.","","[London,","","1727]",1727,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1289"
"T77011","Wesley, Samuel,","1662-1735.","Dissertationes in librum Jobi.","","Londini :","typis Gulielmi Bowyer: prostant venales apud C. Rivington & S. Birt; R. Clements & M. Fletcher, Oxonienses; C. Crownfield & W. Thurlboubn [sic], Cantabrigienses,",1736.,1736,"[14],599,[1]p.,plates ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2198"
"T77012","Wesley, Samuel,","1662-1735.","Dissertationes in librum Jobi.","","Londini :","typis Gulielmi Bowyer,",1735.,1735,"[10],599,[1]p.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2198"
"T77174","Gyles, Fletcher,","d. 1741.","A catalogue of the entire library of Dr. Thomas Goodman, late physician in ordinary to His Majesty. Containing above ten thousand volumes of the most curious and valuable books extant, in Greek, Latin, English, French, Italian and Spanish, in most parts of polite literature, viz. antiquities, medals, poetry, oratory, history, critic learning and philology, of the best and scarcest editions. Likewise all the Classicks in usum Delphini, cum notis variorum, and ex Officina Elzeviriana, also a great number printed by Juntas, Colinaeus, Turnebus, Vascosan, Morel, R. and H. Stephens, and others, the most celebrated ancient printers. With will begin to be sold by auction, on Monday March 26, 1739. at five in the evening, at Fletcher Gyles's, against Grays-Inn in Holborn, bookseller; and will continue to be sold twice a day. N.B. Catalogues will be delivered only at the place of sale at one shilling each, and the books may be viewed every day from nine to one and from three to six. Where may be had ready money for any parcel of books.","","[London,","","1739]",1739,"[4],260p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2666"
"T77284","Law, William,","1686-1761.","A reply to the Bishop of Bangor's Answer to the representation of the Committee of Convocation.","","London :","printed for William and John Innys at the Prince's Arms at the West-End of St. Paul's Church-Yard,",1719.,1719,"[4],232,[4]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 521"
"T77311","Quillet, Claude,","1602-1661.","Callipædia:","The second edition, corrected.","London :","printed for Bernard Lintot,","1719 [1718]",1718,"[14],85,[5]p.,plates :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 469"
"T77395","Cheselden, William,","1688-1752.","An appendix to the fourth edition of the anatomy of the human body. Printed separately for the use of those who have the former editions. By W. Cheselden, ...","","London :","printed by W. Bowyer,",1735.,1735,"19,[1]p.,3 plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2112"
"T77398","Cheselden, William,","1688-1752.","The anatomy of the human body.","The Vth edition. With forty copper plates engrav'd","London :","printed by William Bowyer,","MDCCXL. [1740]",1740,"[10],336p., 40 plates :","ill. ;","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2895"
"T77401","Cheselden, William,","1688-1752.","The anatomy of the human body.","The third edition.","London :","printed by W. Bowyer: and sold by James and John Knapton, J. and B. Sprint, J. Osborn and T. Longman, J. Noon, J. Billingsley, J. Woodman and D. Loyon, of London, Booksellers; and A. Ramsey of Edinburgh,","MDCCXXVI. [1726]",1726,"[16],376p.,34 plates ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1159"
"T77569","Law, William,","1686-1761.","Three letters to the Bishop of Bangor.","The eighth edition.","London :","printed for W. and J. Innys, at the West End of St. Paul's Church,","M.DCC.XXI. [1721]",1721,"40;[4],107,[1];[4],232,[4]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 521, 527"
"T77892","Sacheverell, Henry,","1674-1724.","The Christian triumph:","","London :","printed by W. Bowyer, for Henry Clements,",1713.,1713,"[4],51,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 171"
"T77893","Sacheverell, Henry,","1674-1724.","The Christian triumph:","The second edition.","London :","printed for Henry Clements,",1713.,1713,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 173"
"T77894","Sacheverell, Henry,","1674-1724.","The Christian triumph:","","London :","printed by W. Bowyer, for Henry Clements,",1713.,1713,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 172"
"T78073","Cheselden, William,","1688-1752.","Osteographia, or the anatomy of the bones. By William Cheselden ...","","London,","",1733.,1733,"[56]p.,56 leaves,56 plates :","ill. ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1969"
"T78074","Folkes, Martin,","1690-1754.","A table of English gold coins,","","London :","printed for the Society of Antiquaries,",1736.,1736,"8p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2285"
"T79079","Atterbury, Francis,","1662-1732.","The mitre and the crown;","","London :","printed for Henry Clements at the Half Moon in St. Paul's Church-Yard,",1711.,1711,"27,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 85"
